"﻿""REF_DATE""",GEO,DGUID,Institution type,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,Selected statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2016,Newfoundland and Labrador,2016A000210,University,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]","Total, gender",International students,Number,Number,223,units,0,v108925131,2.2.5.10.1.3.1,45,,,,0
2016,Nova Scotia,2016A000212,University,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]","Total, gender",International students,Number,Number,223,units,0,v54476366,4.2.5.10.1.3.1,99,,,,0
2016,New Brunswick,2016A000213,University,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]","Total, gender",International students,Number,Number,223,units,0,v54480033,5.2.5.10.1.3.1,69,,,,0
2016,Quebec,2016A000224,University,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]","Total, gender",International students,Number,Number,223,units,0,v54484548,6.2.5.10.1.3.1,579,,,,0
2016,Ontario,2016A000235,University,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]","Total, gender",International students,Number,Number,223,units,0,v54489142,7.2.5.10.1.3.1,840,,,,0
2016,Manitoba,2016A000246,University,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]","Total, gender",International students,Number,Number,223,units,0,v108985868,8.2.5.10.1.3.1,51,,,,0
2016,Saskatchewan,2016A000247,University,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]","Total, gender",International students,Number,Number,223,units,0,v54497163,9.2.5.10.1.3.1,81,,,,0
2016,Alberta,2016A000248,University,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]","Total, gender",International students,Number,Number,223,units,0,v65206111,10.2.5.10.1.3.1,168,,,,0
2016,British Columbia,2016A000259,University,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]","Total, gender",International students,Number,Number,223,units,0,v54464476,11.2.5.10.1.3.1,225,,,,0
